Title,Author,Genre,Height,Publisher
Fundamentals of Wavelets,Jaideva Goswami,signal_processing,228,Wiley
Data Smart,John Foreman,data_science,235,Wiley
God Created the Integers,Stephen Hawking,mathematics,197,Penguin
Superfreakonomics,Stephen Dubner,economics,179,HarperCollins
Orientalism,Edward Said,history,197,Penguin
The Nature of Statistical Learning Theory,Vladimir Vapnik,data_science,230,Springer
Integration of the Indian States,V P Menon,history,217,Orient Blackswan
The Drunkard's Walk,Leonard Mlodinow,science,197,Penguin
Image Processing & Mathematical Morphology,Frank Shih,signal_processing,241,CRC
How to Think Like Sherlock Holmes,Maria Konnikova,psychology,240,Penguin
Data Scientists at Work,Sebastian Gutierrez,data_science,230,Apress
Slaughterhouse Five,Kurt Vonnegut,fiction,198,Random House
Birth of a Theorem,Cedric Villani,mathematics,234,Bodley Head
Structure & Interpretation of Computer Programs,Gerald Sussman,computer_science,240,MIT Press
The Age of Wrath,Abraham Eraly,history,238,Penguin
The Trial,Frank Kafka,fiction,198,Random House
Statistical Decision Theory',John Pratt,data_science,236,MIT Press
Data Mining Handbook,Robert Nisbet,data_science,242,Apress
The New Machiavelli,H. G. Wells,fiction,180,Penguin
Physics & Philosophy,Werner Heisenberg,science,197,Penguin
Making Software,Andy Oram,computer_science,232,O'Reilly
Vol I Analysis,Terence Tao,mathematics,248,HBA
Machine Learning for Hackers,Drew Conway,data_science,233,O'Reilly
The Signal and the Noise,Nate Silver,data_science,233,Penguin
Python for Data Analysis,Wes McKinney,data_science,233,O'Reilly
Introduction to Algorithms,Thomas Cormen,computer_science,234,MIT Press
The Beautiful and the Damned,Siddhartha Deb,nonfiction,198,Penguin
The Outsider,Albert Camus,fiction,198,Penguin
The - Vol I Complete Sherlock Holmes,Arthur Conan Doyle,fiction,176,Random House
The - Vol II Complete Sherlock Holmes,Arthur Conan Doyle,fiction,176,Random House
The Wealth of Nations,Adam Smith,economics,175,Random House
The Pillars of the Earth,Ken Follett,fiction,176,Random House
Mein Kampf,Adolf Hitler,nonfiction,212,Rupa
The Tao of Physics,Fritjof Capra,science,179,Penguin
Surely You're Joking Mr Feynman,Richard Feynman,science,198,Random House
A Farewell to Arms,Ernest Hemingway,fiction,179,Rupa
The Veteran,Frederick Forsyth,fiction,177,Transworld
False Impressions,Jeffery Archer,fiction,177,Pan
The Last Lecture,Randy Pausch,nonfiction,197,Hyperion
Return of the Primitive,Ayn Rand,philosophy,202,Penguin
